"subjectID" "activity" "tBodyAccMeanX" "tGravityAccarCoeffX2" "tBodyGyrominX" "tBodyGyroJerkcorrelationXZ" "tBodyGyroJerkMagarCoeff4" "fBodyAccbandsEnergy18" "fBodyAccJerkbandsEnergy916" "fBodyGyrobandsEnergy1724" "fBodyBodyGyroMagMean"
5 1 0.28858451 0.5911463 0.84730796 -0.087159695 -0.12407233 -0.99359234 -0.99989993 -0.99997295 -0.98013485
5 1 0.27841883 0.41385634 0.83372106 -0.018075169 -0.043823965 -0.9982346 -0.99982717 -0.99991309 -0.98829555
5 1 0.27965306 0.027480687 0.83372106 0.073717859 -0.10751416 -0.99938816 -0.99974394 -0.99991514 -0.98925477
5 1 0.27917394 0.075427203 0.83416396 0.14045188 -0.16382553 -0.99980706 -0.99979651 -0.99994647 -0.9894128
5 1 0.27662877 0.26891819 0.83909061 0.10748923 -0.0073679914 -0.99980566 -0.9998775 -0.99992583 -0.99143303
5 1 0.27719877 0.37903209 0.83980804 0.18667289 -0.16885276 -0.99994235 -0.99994216 -0.99997417 -0.99050002
5 1 0.27945388 0.40146416 0.83923216 0.20393143 -0.36516042 -0.99960163 -0.99983998 -0.99995579 -0.9882692
5 1 0.27743247 0.39013017 0.83923216 0.20803026 -0.35191026 -0.99946582 -0.99981557 -0.99994162 -0.98943061
5 1 0.27729342 0.29184819 0.84240348 -0.14109889 -0.36706225 -0.99945699 -0.99976759 -0.99993387 -0.99162928
5 1 0.28058569 0.36132765 0.83673943 0.089193195 -0.081848717 -0.99981235 -0.99953183 -0.99987597 -0.98478793
5 1 0.27688027 0.38440621 0.83673943 0.19620557 -0.17345868 -0.99986905 -0.99968269 -0.99994343 -0.98345836
5 1 0.27622817 0.37605091 0.84187441 0.14846662 -0.32585054 -0.99994033 -0.99994053 -0.99998345 -0.99650333
5 1 0.278457 0.26148898 0.84358903 0.15124367 -0.19084862 -0.99995859 -0.99997388 -0.99997297 -0.99790693
5 1 0.27717497 0.1681644 0.84623834 0.17467681 -0.44278857 -0.99987315 -0.99997108 -0.99998436 -0.99856385
5 1 0.29794572 0.44635787 0.82506425 -0.009150338 -0.2215185 -0.99176455 -0.99982653 -0.99984692 -0.91104074
5 1 0.27920345 0.67166052 0.84535354 -0.11808549 -0.28738764 -0.99949957 -0.99998083 -0.99995754 -0.95640227
5 1 0.27903836 0.30319968 0.84535354 -0.29223136 -0.54017806 -0.99942457 -0.99993619 -0.99996584 -0.98656987
5 1 0.2801349 0.30426162 0.84304451 -0.16208828 -0.3258714 -0.99979698 -0.99992196 -0.99995867 -0.99244181
5 1 0.27773106 0.46972548 0.84277019 0.033951002 0.15114585 -0.99992537 -0.99994957 -0.99998341 -0.9956098
5 1 0.27556818 0.47801048 0.84277019 0.027449021 -0.29211891 -0.99997282 -0.99992916 -0.99999308 -0.99720378
5 1 0.27756171 0.35550763 0.84512415 -0.045200558 -0.43894829 -0.99994496 -0.99992028 -0.99998193 -0.9988685
5 1 0.27715238 0.29814548 0.84421838 -0.062697352 -0.47275604 -0.9999601 -0.99989943 -0.99996687 -0.99852538
5 1 0.2756763 0.36414095 0.84421838 -0.13027139 -0.38065334 -0.99989165 -0.99989268 -0.99997686 -0.99824461
5 1 0.2792002 0.36617151 0.84640091 -0.13715717 -0.35762805 -0.99979887 -0.9999321 -0.99998429 -0.99803662
5 1 0.28171549 0.24204734 0.84387111 -0.095972924 -0.50424874 -0.99983338 -0.9998925 -0.99998241 -0.99721689
5 1 0.27899267 0.25745982 0.84198968 -0.10066136 -0.60036722 -0.99987863 -0.99994429 -0.9999905 -0.99674532
5 1 0.27573444 0.22163515 0.84198968 -0.14066561 -0.5161193 -0.99991025 -0.99995608 -0.9999593 -0.99660807
4 1 0.14450396 0.91331398 0.82493137 -0.54617551 0.15542956 -0.79731077 -0.9994196 -0.99972927 -0.97506987
4 1 0.28725164 0.96834514 0.83426679 0.14177564 -0.41452062 -0.99651697 -0.9999336 -0.99997077 -0.96970623
4 1 0.2799976 0.77328808 0.83998948 0.041450094 -0.023115347 -0.99953114 -0.99994512 -0.99999071 -0.96972021
4 1 0.22184689 0.60866944 0.56901685 0.73504024 -0.048659421 -0.88095392 -0.98956356 -0.99650808 -0.60433533
4 1 -0.041701306 0.83111843 0.56901685 0.6445329 -0.1357784 -0.78699017 -0.98762332 -0.99537559 -0.65163072
4 1 0.013903671 0.80031092 0.8381341 0.073007022 -0.16122471 -0.90862037 -0.99889446 -0.99688403 -0.85722556
4 1 0.30368927 0.98710235 0.8381341 -0.1603777 -0.041896063 -0.996641 -0.99977027 -0.99997566 -0.96910523
4 1 0.29075969 0.92518522 0.84077414 0.067666144 0.3288872 -0.99836234 -0.99996586 -0.99998893 -0.98475673
4 1 0.27090823 0.92446526 0.84174423 0.038395593 0.27886529 -0.9998324 -0.99997399 -0.99999075 -0.991537
4 1 0.2795534 0.54987335 0.84512874 0.070602607 0.35714746 -0.99994086 -0.99996456 -0.99999229 -0.99410838
4 1 0.27635864 0.40933083 0.8455235 0.050836317 0.078584276 -0.99985441 -0.99991163 -0.99999167 -0.99582391
4 1 0.23715407 0.9503649 0.7447236 -0.10632045 -0.098847285 -0.99885299 -0.99967685 -0.99985486 -0.88993038
4 1 0.2731084 0.73839709 0.76524083 0.22165625 0.085844097 -0.99981866 -0.99996477 -0.99957401 -0.87774284
4 1 0.28150539 0.54212387 0.80100212 0.13457044 0.18953444 -0.99984222 -0.99997465 -0.99982248 -0.93017017
4 1 0.27843225 0.50269198 0.828909 -0.010997664 0.30102493 -0.99986093 -0.99995796 -0.99995487 -0.98615395
4 1 0.2733796 0.56064557 0.84181316 0.049079987 -0.085948369 -0.99987878 -0.99995291 -0.9999815 -0.99192262
4 1 0.27905615 0.59610041 0.85028275 0.27068965 -0.11301702 -0.99974382 -0.99995066 -0.99999775 -0.99468302
4 1 0.2785991 0.40703144 0.84817627 0.16227462 0.29410799 -0.99965738 -0.99995027 -0.99998953 -0.99263043
4 1 0.27328142 0.30093447 0.84724902 0.1104212 0.21270398 -0.99980529 -0.99997275 -0.99999158 -0.99594138
4 1 0.27853812 0.31540433 0.84720993 0.15015028 0.034861528 -0.99985817 -0.99995537 -0.99998684 -0.99603154
4 1 0.27746121 0.17984323 0.84567995 0.16557349 0.19814959 -0.99974567 -0.99994425 -0.99999284 -0.99702378
